drug,correlation,p_value,n,significance
BRD:BRD-K01638814-011-01-4,-0.07974984627914761,0.06554686801841811,534,NS
BRD:BRD-K28907958-001-04-3,-0.07962236641268211,0.06156297350794657,552,NS
BRD:BRD-K76634210-001-12-1,-0.07961445766042084,0.06600736050505128,534,NS
BRD:BRD-K26530649-001-01-6,-0.07956386424178137,0.06618012300536268,534,NS
BRD:BRD-K33141550-003-05-7,-0.07946155202015917,0.06185420825242522,553,NS
BRD:BRD-K48722833-001-07-6,-0.07933546286704479,0.0629874647464383,550,NS
BRD:BRD-K68538666-001-12-3,-0.07926766399528293,0.06321361268072227,550,NS
BRD:BRD-A17411484-001-11-9,-0.07904672591077962,0.06323147912489767,553,NS
BRD:BRD-K72533376-001-01-2,-0.07902057603601746,0.06805881891644858,534,NS
BRD:BRD-K42673188-001-01-1,-0.07899037836126518,0.06790560238790978,535,NS
BRD:BRD-K83631119-001-04-9,-0.07898764744344573,0.019241858346610713,878,p < 0.05
BRD:BRD-K28121004-001-01-1,-0.07888595553452836,0.06329197451842586,555,NS
BRD:BRD-K77791657-003-01-7,-0.07881900551762779,0.07197345521911165,522,NS
BRD:BRD-K55512740-001-01-6,-0.07871925028731286,0.0643365029306818,553,NS
BRD:BRD-K54871792-001-02-2,-0.07870339674086896,0.08865676154280312,469,NS
BRD:BRD-K21612934-001-01-1,-0.07870022985724894,0.06918692656015782,534,NS
BRD:BRD-K64874225-001-04-7,-0.07860193677574892,0.06546993492293235,550,NS
BRD:BRD-K66213167-001-01-2,-0.07858565958660418,0.08879427327537479,470,NS
BRD:BRD-K28912512-001-23-2,-0.07844457841606592,0.06700971629011188,546,NS
BRD:BRD-A09554849-236-07-6,-0.07842652522667994,0.06607534974889148,550,NS
BRD:BRD-K04923131-001-15-4,-0.07835889825231435,0.06756183112767292,545,NS
BRD:BRD-K94934625-001-01-5,-0.07815516758038195,0.09090743036921851,469,NS
BRD:BRD-K69877120-001-01-7,-0.07810212440253725,0.09112759933990575,469,NS
BRD:BRD-K85693895-001-02-9,-0.07804323396858082,0.09102603267419364,470,NS
BRD:BRD-K03406345-001-27-8,-0.07794392708736228,0.06776476122851377,550,NS
BRD:BRD-K47659338-003-02-8,-0.07781435127676736,0.06898479512276652,547,NS
BRD:BRD-K74057757-001-01-9,-0.0777320264970578,0.06726700405042989,555,NS
BRD:BRD-K67117832-001-01-9,-0.07765029821155811,0.0729920864836375,534,NS
BRD:BRD-K04956647-003-02-5,-0.07764892986873886,0.06881478357995473,550,NS
BRD:BRD-K88443722-001-01-7,-0.07764067201984003,0.09306105248493597,469,NS
BRD:BRD-K45724504-001-01-6,-0.07761293876553761,0.06894379912484133,550,NS
BRD:BRD-K68474068-001-01-8,-0.07758498741060092,0.0687909132815516,551,NS
BRD:BRD-K81572616-001-01-9,-0.07756098632895411,0.06862457392901045,552,NS
BRD:BRD-K79437791-001-05-7,-0.07752162666803707,0.06927201054559493,550,NS
BRD:BRD-K88506063-001-01-8,-0.077499629361107,0.0688445353809357,552,NS
BRD:BRD-K47337578-034-02-5,-0.07745772422376059,0.07027101352528256,547,NS
BRD:BRD-K96259238-001-01-4,-0.07738005461911664,0.06927486449872541,552,NS
BRD:BRD-K27061362-001-01-6,-0.07724421116132583,0.07450888849561436,534,NS
BRD:BRD-K08542803-001-03-1,-0.07713401907564532,0.07067949952215283,550,NS
BRD:BRD-K90195324-003-02-5,-0.07711465006052222,0.07023788484534542,552,NS
BRD:BRD-K89015388-001-01-7,-0.07699596903250469,0.07118640417590395,550,NS
BRD:BRD-K69280563-001-01-8,-0.07698268584456015,0.0720147058687292,547,NS
BRD:BRD-A70083328-001-23-5,-0.07697276642817792,0.0723133828940869,546,NS
BRD:BRD-K00003535-001-01-9,-0.07695266420959276,0.022977882852890784,873,p < 0.05
BRD:BRD-K55188888-065-01-2,-0.07686314328884107,0.09603672079029946,470,NS
BRD:BRD-K32533226-001-01-3,-0.07679818628962327,0.09631879528136732,470,NS
BRD:BRD-A52588987-004-08-2,-0.07670334434001234,0.07175192691783149,552,NS
BRD:BRD-K82861010-001-02-5,-0.07666011541154598,0.08714008152540269,499,NS
BRD:BRD-K17828029-001-01-5,-0.07645883108319367,0.07751525014067016,534,NS
BRD:BRD-K71026158-304-01-0,-0.07641209577440948,0.07741843066568713,535,NS
BRD:BRD-K05262258-001-02-9,-0.0764034381576868,0.023574116441903423,878,p < 0.05
BRD:BRD-K99149715-001-01-6,-0.07622618689703402,0.07354167432858066,552,NS
BRD:BRD-K82823804-001-04-1,-0.0760347787668349,0.07613888346167415,545,NS
BRD:BRD-K63169195-001-01-5,-0.07597732602736672,0.07582162599559872,547,NS
BRD:BRD-K86161929-001-13-3,-0.07596448853775324,0.075068642405628,550,NS
BRD:BRD-A08545410-003-08-6,-0.07591145933872473,0.07395326360569698,555,NS
BRD:BRD-K00004742-001-01-9,-0.07583997218711824,0.025037181428865216,873,p < 0.05
BRD:BRD-K28343777-001-01-6,-0.07576550539493732,0.07664424001286889,547,NS
BRD:BRD-K36379990-001-01-1,-0.07571931606681878,0.08043540464292369,534,NS
BRD:BRD-K55822903-003-01-8,-0.07557405892536044,0.10175912082087975,470,NS
BRD:BRD-A07704283-001-01-3,-0.07548514686298227,0.07747193876118903,548,NS
BRD:BRD-K57291914-003-09-4,-0.07525346531770226,0.07893779465812915,546,NS
BRD:BRD-K86932920-001-02-9,-0.07521405253187012,0.02600695573410843,876,p < 0.05
BRD:BRD-K62384160-001-02-0,-0.07513977712495806,0.0827856016539655,534,NS
BRD:BRD-A55913614-316-09-6,-0.07513566861409886,0.0769625261932368,555,NS
BRD:BRD-A90272038-001-01-7,-0.07508892925908603,0.07877097915455612,549,NS
BRD:BRD-K00090658-001-01-9,-0.07501452271292645,0.028006792511506784,858,p < 0.05
BRD:BRD-K00003365-300-01-9,-0.07498073940624057,0.026734756265985146,873,p < 0.05
BRD:BRD-K65377893-001-07-4,-0.07496589157665894,0.08706781831075867,522,NS
BRD:BRD-K45014108-003-01-8,-0.07490358044759877,0.07923975563134433,550,NS
BRD:BRD-K28761384-300-01-0,-0.07478960923367851,0.0783366088676346,555,NS
BRD:BRD-K00004662-001-01-9,-0.07473846245524288,0.027230998241629233,873,p < 0.05
BRD:BRD-K58070273-001-03-3,-0.0746403887479914,0.10607028487408789,470,NS
BRD:BRD-K47978074-001-02-4,-0.07462118338379622,0.08348297848308023,539,NS
BRD:BRD-K80403280-001-02-1,-0.07462039308808985,0.10616416863128,470,NS
BRD:BRD-K00003194-001-01-9,-0.0745599881367885,0.027159336560878437,878,p < 0.05
BRD:BRD-K27406233-001-07-7,-0.07440497023431182,0.08126403795904925,550,NS
BRD:BRD-K87048468-003-02-7,-0.07438013909006647,0.08248661180714832,546,NS
BRD:BRD-K35034482-001-01-8,-0.07437961286491712,0.08053835403193867,553,NS
BRD:BRD-K00003327-001-01-9,-0.0742748966124363,0.027753773944364887,878,p < 0.05
BRD:BRD-K62779383-001-05-5,-0.07418963308941641,0.0903974414072307,522,NS
BRD:BRD-K51956333-001-03-8,-0.07412688427484442,0.08702619694517244,534,NS
BRD:BRD-K32952627-001-02-9,-0.07385357105368595,0.02865276197652315,878,p < 0.05
BRD:BRD-A55272860-001-14-6,-0.0738400429555851,0.08304550678399653,552,NS
BRD:BRD-A81615860-003-01-7,-0.07371547404179321,0.08356771898468315,552,NS
BRD:BRD-K09785578-001-01-2,-0.07369149529870722,0.08423322755066825,550,NS
BRD:BRD-K76381435-001-08-6,-0.07351112222633731,0.09029429374509924,532,NS
BRD:BRD-K80666802-003-01-0,-0.07350516531208816,0.11188866886888123,469,NS
BRD:BRD-K12483104-001-02-9,-0.073456091769827,0.029523705283335717,878,p < 0.05
BRD:BRD-K85849709-001-01-5,-0.07335035831366613,0.08539806423567238,551,NS
BRD:BRD-A45107007-001-03-4,-0.07331237465079656,0.08670970289022156,547,NS
